DATE,RELEASE_ID,CDS,LPS,AMOUNT,TRANSACTION,CHANNEL,DESCRIPTION
2016.5.2,LS00029,-25,0,0,stock correction,,stock-in
2016.5.5,LS00044,-2,0,0,stock correction,,stock-in
2016.6.4,LS00041,7,15,0,stock correction,,"Samples Perry, Kevin etc"
2016.6.5,LS00005,1,0,0,stock correction,,archive Radio Free Brooklyn
2016.6.5,LS00006,1,0,0,stock correction,,archive Radio Free Brooklyn
2016.8.13,LS00007,7,0,0,stock correction,,dispatch to Melodica Nottingham
2016.8.13,LS00017,23,0,0,stock correction,,dispatch to artist
2016.8.13,LS00038,20,10,0,stock correction,,dispatch to artist
2016.8.13,LS00023,26,0,0,stock correction,,dispatch to artist
2016.8.13,LS00026,18,0,0,stock correction,,dispatch to Melodica Nottingham
2016.8.13,LS00013,2,0,0,stock correction,,dispatch to Melodica Nottingham
2016.8.13,LS00045,-40,0,0,stock correction,,stock-in
2016.9.16,LS00044,-6,0,0,stock correction,,stock-in
2016.9.20,LS00046,-200,0,0,stock correction,,stock-in
2016.9.25,LS00046,50,0,0,stock correction,,dispatch to artist
2016.10.12,LS00046,9,0,0,stock correction,,promotional copies
2016.11.2,LS00041,-577,0,0,stock correction,,stock-in
