DATE,RELEASE_ID,CDS,LPS,AMOUNT,TRANSACTION,CHANNEL,DESCRIPTION,Product
2017.02.27,LS00048,,,-850,expense,Maren Kumpe,PR Man Bites Dog Germany,"Cinema Cinema, Man Bites Dog"
2017.02.27,LS00048,,,850,expense reimbursed,Ev Gold,PR Man Bites Dog Germany,"Cinema Cinema, Man Bites Dog"
2017.02.28,LS00048,,,-100,expense,Kathrin Wagmueller,compensation,"Cinema Cinema, Man Bites Dog"
2017.03.17,LS00048,,,-3576.84,expense,MPO,manufacturing 517 vinyl records,"Cinema Cinema, Man Bites Dog"
2017.03.22,LS00047,,,-42,expense,Stephan Bruelhart,postage 15 Bounds vinyls,"Overdrive Amp Explosion, Bounds"
2017.03.22,LS00020,,,-3.5,payment,Labelship,pay-off Labelship,Overdrive Amp Explosion / Easy Tiger 
2017.03.22,LS00020,,,-3.6,payment,Stephan Bruelhart,pay-off artist,Overdrive Amp Explosion / Easy Tiger 
2017.03.22,LS00021,,,-31.23,payment,Labelship,pay-off Labelship,"Overdrive Amp Explosion, Blanks"
2017.03.22,LS00021,,,-31.23,payment,Stephan Bruelhart,pay-off artist,"Overdrive Amp Explosion, Blanks"
2017.03.22,LS00028,,,-12.56,payment,Labelship,pay-off Labelship,"Overdrive Amp Explosion, Intervals"
2017.03.22,LS00028,,,-12.57,payment,Stephan Bruelhart,pay-off artist,"Overdrive Amp Explosion, Intervals"
2017.03.22,LS00048,,,-2148.22,expense,MPO,manufacturing 1060 CDs,"Cinema Cinema, Man Bites Dog"
2017.03.22,LS00048,,,-95.72,expense,Royal Mail,postage 45 promotional copies UK,"Cinema Cinema, Man Bites Dog"
2017.03.28,LS00048,,,-96.54,expense,UPS,shipment vinyls USA,"Cinema Cinema, Man Bites Dog"
2017.03.05,LS00048,,,-300,expense,Polymath PR,PR Man Bites Dog UK,"Cinema Cinema, Man Bites Dog"
2017.03.05,LS00048,,,300.00,expense reimbursed,Ev Gold,PR Man Bites Dog UK,"Cinema Cinema, Man Bites Dog"
2017.04.21,LS00048,,,-30.25,expense,UPS,shipment stock Brokensilence,"Cinema Cinema, Man Bites Dog"
2017.03.05,LS00048,,,-23.39,expense,UPS,shipmemnt tour vinyls and CDS Germany,"Cinema Cinema, Man Bites Dog"
2017.04.27,LS00048,,,-96.37,expense,Dullest Records,purchase 25 Cassettes,"Cinema Cinema, Man Bites Dog"
2017.05.11,LS00048,,,-9.55,expense,postage,shipment vinyl USA,"Cinema Cinema, Man Bites Dog"
2017.09.27,LS00021,,,-43.81,expense,postage,shipment Blanks copies,"Overdrive Amp Explosion, Blanks"
2017.08.29,LS00052,,,-900.05,expense,MPO,CD manufacturing ,"Phia, The Woman Who Counted The Stars"
2017.08.24,LS00052,,,850,expense reimbursed,Sophia Exiner,CD Manufacturing,"Phia, The Woman Who Counted The Stars"
2017.10.02,LS00051,,,323,expense reimbursed,Ashton Gray,vinyl cutting / test pressing,"Ash Gray, Chicken Wire"
2017.10.02,LS00051,,,-323,expense,MPO,vinyl cutting / test pressing,"Ash Gray, Chicken Wire"
2017.10.27,LS00051,,,850,expense reimbursed,Ashton Gray,PR Germany / Music Matters,"Ash Gray, Chicken Wire"
2017.08.18,LS00051,,,1243.94,expense reimbursed,Ashton Gray,CD Manufacturing,"Ash Gray, Chicken Wire"
2017.05.23,LS00048,,,-850,expense,Maren Kumpe,PR Man Bites Dog Germany,"Cinema Cinema, Man Bites Dog"
2017.07.12,LS00048,,,850,expense reimbursed,Ev Gold,PR Man Bites Dog Germany,"Cinema Cinema, Man Bites Dog"
2017.11.27,LS00045,,,-500,expense,Maren Kumpe,Tour PR,"Phia, The Ocean Of Everything"
2017.11.27,LS00051,,,-850,expense,Maren Kumpe,PR Germany / Music Matters,"Ash Gray, Chicken Wire"
2017.10.29,LS00041,,,-163.03,expense,HHLLC,licence transfer remaining stock,Frogbelly And Symphony / Blue Bright...
2017.08.26,LS00041,,,-173.14,expense,,car fee Ben Trott August tour,Frogbelly And Symphony / Blue Bright...
2017.08.19,LS00051,,,-1243.94,expense,MPO,CD Manufacturing,"Ash Gray, Chicken Wire"
2017.11.12,LS00051,,,1563.05,expense reimbursed,Ashton Gray,Vinyl Manufacturing,"Ash Gray, Chicken Wire"
2017.11.12,LS00051,,,-1563.05,expense,MPO,Vinyl Manufacturing,"Ash Gray, Chicken Wire"
2017.10.22,LS00041,,,-44.74,expense,SXSW,SXSW 2018 application fee,Frogbelly And Symphony / Blue Bright...
